id,latitude,longitude,station,sta_latitude,sta_longitude
495155,41.3523,45.987,DDFN,41.4733,46.1444
495155,41.3523,45.987,VSHA,41.2302,46.3998
494369,41.192,43.9273,AKHA,41.41,43.4929
494369,41.192,43.9273,DDFN,41.4733,46.1444
494369,41.192,43.9273,DSHG,42,44.718
494369,41.192,43.9273,LPNA,42.0574,45.6003
494369,41.192,43.9273,MUGA,42.2904,44.6421
494369,41.192,43.9273,TRLT,41.5695,44.1546
489909,41.9211,42.6545,GARI,42.604,43.4688
489909,41.9211,42.6545,KHRT,42.3517,43.2191
486007,41.184,43.9203,AKHA,41.41,43.4929
486007,41.184,43.9203,DDFN,41.4733,46.1444
486007,41.184,43.9203,EMLK,41.2134,43.952
486007,41.184,43.9203,LPNA,42.0574,45.6003
486007,41.184,43.9203,VSHA,41.2302,46.3998
486002,41.1665,43.9348,AKHA,41.41,43.4929
486002,41.1665,43.9348,DDFN,41.4733,46.1444
486002,41.1665,43.9348,DSHG,42,44.718
486002,41.1665,43.9348,EMLK,41.2134,43.952
486002,41.1665,43.9348,LPNA,42.0574,45.6003
486002,41.1665,43.9348,MUGA,42.2904,44.6421
486002,41.1665,43.9348,VSHA,41.2302,46.3998
481995,41.4333,43.9921,AKHA,41.41,43.4929
481995,41.4333,43.9921,MZEG,41.789,43.534
475034,41.1465,43.9388,AKHA,41.41,43.4929
475034,41.1465,43.9388,MZEG,41.789,43.534
468591,41.1861,43.9076,AKHA,41.41,43.4929
468307,41.2022,43.9126,AKHA,41.41,43.4929
468307,41.2022,43.9126,MZEG,41.789,43.534
468300,41.1936,43.9145,AKHA,41.41,43.4929
468300,41.1936,43.9145,MZEG,41.789,43.534
459960,42.4575,44.9611,LPNA,42.0574,45.6003
459960,42.4575,44.9611,MUGA,42.2904,44.6421
459960,42.4575,44.9611,MZEG,41.789,43.534
456816,42.3006,41.7566,KHMA,42.4053,41.817
456816,42.3006,41.7566,MZEG,41.789,43.534
453499,42.5666,43.511,GARI,42.604,43.4688
453499,42.5666,43.511,MZEG,41.789,43.534
430479,41.8223,43.7791,ALIA,42.1047,43.649
426682,41.8745,45.9348,LPNA,42.0574,45.6003
407330,41.9861,43.1133,AKHA,41.41,43.4929
407330,41.9861,43.1133,ALIA,42.1047,43.649
407330,41.9861,43.1133,GARI,42.604,43.4688
407330,41.9861,43.1133,MUGA,42.2904,44.6421
405693,41.9068,46.21,LPNA,42.0574,45.6003
401913,42.5103,43.478,ALIA,42.1047,43.649
401913,42.5103,43.478,GARI,42.604,43.4688
392747,41.2631,46.5263,LPNA,42.0574,45.6003
392747,41.2631,46.5263,VSHA,41.2302,46.3998
359370,42.489,43.6053,AKHA,41.41,43.4929
359370,42.489,43.6053,ALIA,42.1047,43.649
359370,42.489,43.6053,MUGA,42.2904,44.6421
357808,41.867,43.4591,ALIA,42.1047,43.649
345055,42.2638,42.7233,ALIA,42.1047,43.649
326168,41.4681,45.8765,VSHA,41.2302,46.3998
299525,41.3975,45.7675,ALIA,42.1047,43.649
294507,42.414,43.7496,ALIA,42.1047,43.649
291758,41.7446,42.9596,ALIA,42.1047,43.649
285756,42.43,40.8753,ALIA,42.1047,43.649
